model,window_days,threshold,precision,recall
arima,1,7.211655023153796e-10,0.025350837483023993,0.9824561403508771
arima,1,7.33166402588914e-10,0.025362318840579712,0.9824561403508771
arima,1,7.367961935011991e-10,0.025373810602628003,0.9824561403508771
arima,1,7.369698046266747e-10,0.025385312783318223,0.9824561403508771
arima,1,7.40031799728591e-10,0.025396825396825397,0.9824561403508771
arima,1,7.428082038352102e-10,0.025408348457350273,0.9824561403508771
arima,1,7.501593998759937e-10,0.02541988197911938,0.9824561403508771
arima,1,7.52406706383546e-10,0.025431425976385105,0.9824561403508771
arima,1,7.58097098985111e-10,0.025442980463425715,0.9824561403508771
arima,1,7.662946041597785e-10,0.025454545454545455,0.9824561403508771
arima,1,7.668768953195125e-10,0.02546612096407458,0.9824561403508771
arima,1,7.69801895839084e-10,0.025477707006369428,0.9824561403508771
arima,1,7.736110987921484e-10,0.02548930359581247,0.9824561403508771
arima,1,7.817862954229148e-10,0.025500910746812388,0.9824561403508771
arima,1,7.850873007253512e-10,0.0255125284738041,0.9824561403508771
arima,1,7.870761056794072e-10,0.02552415679124886,0.9824561403508771
arima,1,7.872846957690526e-10,0.02553579571363429,0.9824561403508771
arima,1,7.94745304288913e-10,0.025547445255474453,0.9824561403508771
arima,1,8.006665053184037e-10,0.025559105431309903,0.9824561403508771
arima,1,8.075769011850474e-10,0.025559105431309903,0.9824561403508771
arima,1,8.208319995928193e-10,0.025570776255707764,0.9824561403508771
arima,1,8.237923052045736e-10,0.025582457743261764,0.9824561403508771
arima,1,8.379473989683638e-10,0.025594149908592323,0.9824561403508771
arima,1,8.526844993972381e-10,0.025605852766346592,0.9824561403508771
arima,1,8.527300948690807e-10,0.025617566331198535,0.9824561403508771
arima,1,8.601072007397014e-10,0.02562929061784897,0.9824561403508771
arima,1,8.625654981941898e-10,0.02564102564102564,0.9824561403508771
arima,1,8.637349030449214e-10,0.02565277141548328,0.9824561403508771
arima,1,8.638121051784963e-10,0.025664527956003668,0.9824561403508771
arima,1,9.228640004965704e-10,0.02567629527739569,0.9824561403508771
arima,1,9.244627979798635e-10,0.025688073394495414,0.9824561403508771
arima,1,9.255256977480639e-10,0.02569986232216613,0.9824561403508771
arima,1,9.270380990633598e-10,0.025711662075298437,0.9824561403508771
arima,1,9.311520998700471e-10,0.02572347266881029,0.9824561403508771
arima,1,9.35081304054286e-10,0.025735294117647058,0.9824561403508771
arima,1,9.40257198489558e-10,0.02574712643678161,0.9824561403508771
arima,1,9.70455500681755e-10,0.025758969641214352,0.9824561403508771
arima,1,9.812521975516295e-10,0.02577082374597331,0.9824561403508771
arima,1,9.904040990105223e-10,0.02578268876611418,0.9824561403508771
arima,1,9.928078012477748e-10,0.025794564716720404,0.9824561403508771
arima,1,9.933118980121056e-10,0.025806451612903226,0.9824561403508771
arima,1,9.95005501602808e-10,0.02581834946980175,0.9824561403508771
arima,1,9.995841029897255e-10,0.025830258302583026,0.9824561403508771
arima,1,1.0044412038223702e-09,0.025842178126442086,0.9824561403508771
arima,1,1.01210680114594e-09,0.02585410895660203,0.9824561403508771
arima,1,1.0146610010530743e-09,0.025866050808314087,0.9824561403508771
arima,1,1.0258424040787695e-09,0.025878003696857672,0.9824561403508771
arima,1,1.0316655030262467e-09,0.025889967637540454,0.9824561403508771
arima,1,1.032080400309443e-09,0.025901942645698426,0.9824561403508771
arima,1,1.0344381046190063e-09,0.025913928736695974,0.9824561403508771
arima,1,1.0376006998047416e-09,0.025925925925925925,0.9824561403508771
arima,1,1.0466381025753255e-09,0.025937934228809634,0.9824561403508771
arima,1,1.0523289947772516e-09,0.025949953660797033,0.9824561403508771
arima,1,1.0523521012939516e-09,0.025961984237366714,0.9824561403508771
arima,1,1.0580119003122943e-09,0.025974025974025976,0.9824561403508771
arima,1,1.0597313998550462e-09,0.025986078886310906,0.9824561403508771
arima,1,1.0632432989599039e-09,0.025998142989786442,0.9824561403508771
arima,1,1.0772646039103326e-09,0.026010218300046448,0.9824561403508771
arima,1,1.0806779984773307e-09,0.026022304832713755,0.9824561403508771
arima,1,1.0858263038704408e-09,0.02603440260344026,0.9824561403508771
arima,1,1.0860820021107995e-09,0.026046511627906978,0.9824561403508771
arima,1,1.1106095001989223e-09,0.026058631921824105,0.9824561403508771
arima,1,1.1181661013770492e-09,0.026058631921824105,0.9824561403508771
arima,1,1.123344195441689e-09,0.0260707635009311,0.9824561403508771
arima,1,1.1301517013895255e-09,0.02608290638099674,0.9824561403508771
arima,1,1.1513586958833422e-09,0.0260950605778192,0.9824561403508771
arima,1,1.1524712989485764e-09,0.026107226107226107,0.9824561403508771
arima,1,1.1689988005381122e-09,0.026107226107226107,0.9824561403508771
arima,1,1.1933119978269067e-09,0.026119402985074626,0.9824561403508771
arima,1,1.194912897795053e-09,0.026131591227251515,0.9824561403508771
arima,1,1.19926420183436e-09,0.026143790849673203,0.9824561403508771
arima,1,1.2173640984158851e-09,0.026156001868285848,0.9824561403508771
arima,1,1.217780598583573e-09,0.026168224299065422,0.9824561403508771
arima,1,1.2182695963147694e-09,0.026180458158017766,0.9824561403508771
arima,1,1.2217327982622095e-09,0.026192703461178673,0.9824561403508771
arima,1,1.2343999988839727e-09,0.026204960224613945,0.9824561403508771
arima,1,1.2512149996646291e-09,0.026217228464419477,0.9824561403508771
arima,1,1.2539672009093115e-09,0.02622950819672131,0.9824561403508771
arima,1,1.270443902856577e-09,0.026241799437675725,0.9824561403508771
arima,1,1.2758875969631767e-09,0.02625410220346929,0.9824561403508771
arima,1,1.2852066008650631e-09,0.02626641651031895,0.9824561403508771
arima,1,1.2854608974488535e-09,0.02627874237447208,0.9824561403508771
arima,1,1.287110203140873e-09,0.02629107981220657,0.9824561403508771
arima,1,1.289556704475725e-09,0.026303428839830906,0.9824561403508771
arima,1,1.2987223033111839e-09,0.02631578947368421,0.9824561403508771
arima,1,1.3023916042853576e-09,0.026328161730136343,0.9824561403508771
arima,1,1.310349599659144e-09,0.02634054562558796,0.9824561403508771
arima,1,1.3174479007727056e-09,0.02635294117647059,0.9824561403508771
arima,1,1.3205806934091235e-09,0.026365348399246705,0.9824561403508771
arima,1,1.3242016996817263e-09,0.0263777673104098,0.9824561403508771
arima,1,1.3327492998094215e-09,0.02639019792648445,0.9824561403508771
arima,1,1.3365849954594111e-09,0.026402640264026403,0.9824561403508771
arima,1,1.3587103039891524e-09,0.026415094339622643,0.9824561403508771
arima,1,1.358921898619858e-09,0.026427560169891458,0.9824561403508771
arima,1,1.3638695034456916e-09,0.02644003777148253,0.9824561403508771
arima,1,1.3658877015543247e-09,0.026452527161076995,0.9824561403508771
arima,1,1.3752217975504522e-09,0.026465028355387523,0.9824561403508771
arima,1,1.3769341014602252e-09,0.026477541371158392,0.9824561403508771
arima,1,1.383990803904833e-09,0.026490066225165563,0.9824561403508771
arima,1,1.3910064974864687e-09,0.026502602934216753,0.9824561403508771
arima,1,1.392483101048114e-09,0.026515151515151516,0.9824561403508771
arima,1,1.4099054007621348e-09,0.026527711984841308,0.9824561403508771
arima,1,1.4121694993929346e-09,0.026540284360189573,0.9824561403508771
arima,1,1.4250238003499227e-09,0.026552868658131817,0.9824561403508771
arima,1,1.428586998697412e-09,0.026565464895635674,0.9824561403508771
arima,1,1.4345477028498974e-09,0.026578073089700997,0.9824561403508771
arima,1,1.4374502005365384e-09,0.026590693257359924,0.9824561403508771
arima,1,1.4383033028475543e-09,0.02660332541567696,0.9824561403508771
arima,1,1.442214604685521e-09,0.026615969581749048,0.9824561403508771
arima,1,1.448011301141694e-09,0.02662862577270566,0.9824561403508771
arima,1,1.4559975031191994e-09,0.02664129400570885,0.9824561403508771
arima,1,1.4582101012794444e-09,0.026653974297953357,0.9824561403508771
arima,1,1.4608750042999221e-09,0.02666666666666667,0.9824561403508771
arima,1,1.461284197812329e-09,0.0266793711291091,0.9824561403508771
arima,1,1.4675733961411195e-09,0.02669208770257388,0.9824561403508771
arima,1,1.473066203738771e-09,0.02670481640438722,0.9824561403508771
arima,1,1.4777290016643183e-09,0.026717557251908396,0.9824561403508771
arima,1,1.4810074971949303e-09,0.02673031026252983,0.9824561403508771
arima,1,1.482791403550898e-09,0.026743075453677174,0.9824561403508771
arima,1,1.485398699874185e-09,0.026755852842809364,0.9824561403508771
arima,1,1.495210504021127e-09,0.02676864244741874,0.9824561403508771
arima,1,1.507626801178219e-09,0.026781444285031087,0.9824561403508771
arima,1,1.5125534991167202e-09,0.026794258373205742,0.9824561403508771
arima,1,1.5184001972423642e-09,0.026807084729535663,0.9824561403508771
arima,1,1.5207259965177575e-09,0.02681992337164751,0.9824561403508771
arima,1,1.5223453955770514e-09,0.026832774317201723,0.9824561403508771
arima,1,1.5280480977764022e-09,0.026845637583892617,0.9824561403508771
arima,1,1.5348242954349443e-09,0.02685851318944844,0.9824561403508771
arima,1,1.5465147981674752e-09,0.026871401151631478,0.9824561403508771
arima,1,1.5527814034577148e-09,0.02688430148823812,0.9824561403508771
arima,1,1.565708902806495e-09,0.026897214217098942,0.9824561403508771
arima,1,1.572425696594326e-09,0.02691013935607881,0.9824561403508771
arima,1,1.581078296064575e-09,0.026923076923076925,0.9824561403508771
arima,1,1.58720989823502e-09,0.026936026936026935,0.9824561403508771
arima,1,1.599327302537201e-09,0.026948989412897015,0.9824561403508771
arima,1,1.606426901223923e-09,0.026961964371689937,0.9824561403508771
arima,1,1.6078431017141346e-09,0.02697495183044316,0.9824561403508771
arima,1,1.6133874999879614e-09,0.026987951807228915,0.9824561403508771
arima,1,1.617469505554858e-09,0.02700096432015429,0.9824561403508771
arima,1,1.6249664946954567e-09,0.02700096432015429,0.9824561403508771
arima,1,1.6284533999044724e-09,0.027013989387361312,0.9824561403508771
arima,1,1.6486855977659862e-09,0.02702702702702703,0.9824561403508771
arima,1,1.6497696958550632e-09,0.02704007725736359,0.9824561403508771
arima,1,1.668964903778214e-09,0.02705314009661836,0.9824561403508771
arima,1,1.673168700810912e-09,0.02706621556307395,0.9824561403508771
arima,1,1.6751105988421775e-09,0.027079303675048357,0.9824561403508771
arima,1,1.6770805022492395e-09,0.027092404450895016,0.9824561403508771
arima,1,1.699847096414686e-09,0.027105517909002903,0.9824561403508771
arima,1,1.7290091997024246e-09,0.02711864406779661,0.9824561403508771
arima,1,1.7346461003708844e-09,0.027131782945736434,0.9824561403508771
arima,1,1.743752503502449e-09,0.02714493456131847,0.9824561403508771
arima,1,1.7458810994130933e-09,0.027158098933074686,0.9824561403508771
arima,1,1.7490267012476581e-09,0.027171276079573023,0.9824561403508771
arima,1,1.7501285004550835e-09,0.027184466019417475,0.9824561403508771
