model,window_days,threshold,precision,recall
arima,1,8.925606920229257e-10,0.016836086404066072,0.9814814814814815
arima,1,8.950842983468377e-10,0.016841436288528758,0.9814814814814815
arima,1,8.951129004675095e-10,0.016846789574062302,0.9814814814814815
arima,1,8.960236996813363e-10,0.01685214626391097,0.9814814814814815
arima,1,8.988126909414972e-10,0.016857506361323157,0.9814814814814815
arima,1,9.013974983096417e-10,0.016862869869551385,0.9814814814814815
arima,1,9.043481935533391e-10,0.016868236791852325,0.9814814814814815
arima,1,9.076941975827423e-10,0.01687360713148679,0.9814814814814815
arima,1,9.084095003997205e-10,0.016878980891719745,0.9814814814814815
arima,1,9.11191802566158e-10,0.016884358075820324,0.9814814814814815
arima,1,9.166128966953123e-10,0.016889738687061822,0.9814814814814815
arima,1,9.181077981201823e-10,0.01689512272872171,0.9814814814814815
arima,1,9.206023998675759e-10,0.016900510204081634,0.9814814814814815
arima,1,9.222696911725947e-10,0.01690590111642743,0.9814814814814815
arima,1,9.455064092778187e-10,0.01691129546904914,0.9814814814814815
arima,1,9.57621898445282e-10,0.016916693265240982,0.9814814814814815
arima,1,9.580044951773559e-10,0.016922094508301407,0.9814814814814815
arima,1,9.77579697747366e-10,0.016927499201533056,0.9814814814814815
arima,1,9.848497989350946e-10,0.01693290734824281,0.9814814814814815
arima,1,9.85033596356821e-10,0.01693831895174177,0.9814814814814815
arima,1,9.87074699754231e-10,0.01694373401534527,0.9814814814814815
arima,1,9.906057085729003e-10,0.01694915254237288,0.9814814814814815
arima,1,1.001798408117871e-09,0.01695457453614843,0.9814814814814815
arima,1,1.012099001829192e-09,0.01696,0.9814814814814815
arima,1,1.014260689324864e-09,0.016965428937259924,0.9814814814814815
arima,1,1.016325898439696e-09,0.01697086135126481,0.9814814814814815
arima,1,1.021288706382073e-09,0.016976297245355543,0.9814814814814815
arima,1,1.0269544936658548e-09,0.016981736622877282,0.9814814814814815
arima,1,1.0282742990419536e-09,0.016987179487179486,0.9814814814814815
arima,1,1.0391256882735787e-09,0.016992625841615903,0.9814814814814815
arima,1,1.0394196892082872e-09,0.01699807568954458,0.9814814814814815
arima,1,1.0434803021652783e-09,0.01700352903432788,0.9814814814814815
arima,1,1.0442197939664055e-09,0.01700898587933248,0.9814814814814815
arima,1,1.0509975112427128e-09,0.017014446227929372,0.9814814814814815
arima,1,1.0572889092008706e-09,0.0170199100834939,0.9814814814814815
arima,1,1.068601304665684e-09,0.01702537744940572,0.9814814814814815
arima,1,1.0765806995882699e-09,0.01703084832904884,0.9814814814814815
arima,1,1.0789799054222724e-09,0.017036322725811636,0.9814814814814815
arima,1,1.079964104255815e-09,0.017041800643086816,0.9814814814814815
arima,1,1.0893062979411283e-09,0.01704728208427147,0.9814814814814815
arima,1,1.1088679974236015e-09,0.01705276705276705,0.9814814814814815
arima,1,1.1104929059646551e-09,0.0170582555519794,0.9814814814814815
arima,1,1.111314304469424e-09,0.01706374758531874,0.9814814814814815
arima,1,1.116385997534941e-09,0.01706924315619968,0.9814814814814815
arima,1,1.125692900005859e-09,0.017074742268041235,0.9814814814814815
arima,1,1.126566201437029e-09,0.017080244924266838,0.9814814814814815
arima,1,1.132469493181354e-09,0.01708575112830432,0.9814814814814815
arima,1,1.1364667956703656e-09,0.01709126088358594,0.9814814814814815
arima,1,1.1467226057604307e-09,0.017096774193548388,0.9814814814814815
arima,1,1.152654000025066e-09,0.017102291061632784,0.9814814814814815
arima,1,1.158062701289708e-09,0.0171078114912847,0.9814814814814815
arima,1,1.162903703888496e-09,0.01711333548595415,0.9814814814814815
arima,1,1.1640201025286956e-09,0.017118863049095608,0.9814814814814815
arima,1,1.1770947966338594e-09,0.017124394184168012,0.9814814814814815
arima,1,1.1798156063225207e-09,0.01712992889463478,0.9814814814814815
arima,1,1.18072550348014e-09,0.01713546718396379,0.9814814814814815
arima,1,1.1843331038097202e-09,0.017141009055627425,0.9814814814814815
arima,1,1.1851092052150847e-09,0.017146554513102555,0.9814814814814815
arima,1,1.186742801251306e-09,0.01715210355987055,0.9814814814814815
arima,1,1.1891834045263392e-09,0.01715765619941729,0.9814814814814815
arima,1,1.192159204688181e-09,0.01716321243523316,0.9814814814814815
arima,1,1.2032241036852296e-09,0.017168772270813086,0.9814814814814815
arima,1,1.2052409070761883e-09,0.017174335709656513,0.9814814814814815
arima,1,1.2236470031679048e-09,0.017179902755267422,0.9814814814814815
arima,1,1.234694596563557e-09,0.017185473411154346,0.9814814814814815
arima,1,1.2377738001223546e-09,0.01719104768083036,0.9814814814814815
